City;Region;Country;AirQuality;WaterPollution;ph;Hardness;Solids;Chloramines;Sulfate;Conductivity;Organic_carbon;Trihalomethanes;Turbidity;Potability
Toronto;Ontario;Canada;6.553.468.208;377.994.012;6.347.271.760.539.310;18.673.288.066.057.600;4.106.523.476.453.930;9.629.596.276.480.580;3.644.876.872.467.600;516.743.281.893.657;11.539.781.191.539.400;7.507.161.728.663.770;4.376.348.290.691.890;0
Sao Paulo;Sao Paulo;Brazil;2.405.660.377;7.371.794.872;7.051.785.800.016.840;21.104.940.606.054.500;30.980.600.786.788.800;10.094.796.011.661.400;;3.151.412.672.443.020;2.039.702.184.072.240;5.665.160.378.979.330;4.268.428.857.506.180;0
Vilnius;;Lithuania;7.724.719.101;2.058.823.529;9.181.560.007.151.530;27.381.380.665.980.000;2.404.132.628.006.120;6.904.989.726.470.090;3.983.505.168.222.770;4.779.746.418.621.770;13.387.340.780.225.500;714.573.622.129.516;4.503.660.796.179.120;0
Monaco;;Monaco;2.878.787.879;6.136.363.636;8.975.464.347.533.960;27.935.716.677.009.200;19.460.398.131.232.100;6.204.320.858.892.470;;43.144.398.999.034.800;1.288.875.905.430.390;6.382.123.709.666.390;24.360.855.903.052.700;0
Brussels;;Belgium;3.581.081.081;4.476.190.476;7.371.050.302.429.530;21.449.661.045.715.600;25.630.320.036.999.700;4.432.669.290.372.120;33.575.443.859.606.500;46.991.455.147.923.500;12.509.163.940.498.600;6.279.727.715.266.120;25.602.991.476.149.100;0
Poznan;Greater Poland Voivodeship;Poland;3.307.692.308;5.042.372.881;;22.743.504.835.115.500;2.230.556.741.374.140;10.333.917.888.218.600;;5.548.200.864.605.430;1.633.169.328.269.440;45.382.815.177.870.900;413.342.264.357.917;0
Tashkent;;Uzbekistan;564.516.129;4.916.666.667;6.660.212.026.118.100;16.828.374.685.651.800;30.944.363.591.242.600;5.858.769.130.547.580;31.093.085.831.787.800;5.236.712.975.009.440;1.788.423.519.296.480;770.423.180.517.003;37.497.012.410.996.100;0
Warsaw;Masovian Voivodeship;Poland;2.727.272.727;3.601.485.149;;21.597.785.868.806.700;17.107.224.225.827.600;5.607.060.453.087.120;326.943.977.743.867;43.625.619.397.264.900;14.189.062.206.123.700;5.985.547.582.615.380;5.459.250.956.028.730;0
Modena;Emilia-Romagna;Italy;390.625;50;3.902.475.685.915.090;1.969.032.467.083.200;21.167.500.098.968.700;6.996.311.586.298.760;;44.447.888.250.689.700;16.609.033.155.789.900;901.816.758.847.452;4.528.522.696.326.910;0
Tours;;France;84.375;6.25;5.400.301.780.729.460;14.073.906.225.113.900;17.266.593.421.923.000;10.056.852.484.033.400;3.283.582.406.986.830;4.728.740.732.754.290;11.256.381.166.909.400;569.319.064.457.562;4.824.786.389.767.520;0
Singapore;;Singapore;6.587.837.838;24.204.947;6.514.415.093.251.670;19.876.735.125.945.600;21.218.702.871.190.100;867.093.691.991.312;3.235.963.490.101.310;4.132.904.500.885.340;14.899.999.566.696.900;7.984.784.281.372.550;5.200.885.076.539.750;0
Montreal;Quebec;Canada;7.076.023.392;3.696.319.018;34.450.618.643.852.100;20.792.626.018.799.300;334.247.686.784.948;8.782.147.480.773.480;38.400.700.580.172.100;4.417.858.756.739.380;1.380.590.221.127.070;30.284.597.198.002.700;4.184.396.969.028.850;0
Cambridge;England;United Kingdom;6.982.758.621;3.055.555.556;;14.576.818.060.217.200;13.224.935.638.976.900;7.906.444.720.606.130;3.040.019.927.974.150;29.899.066.649.993.200;12.729.524.720.542.200;49.536.848.802.021.800;4.004.871.127.571.580;0
Cologne;North Rhine-Westphalia;Germany;6.071.428.571;2.777.777.778;;2.664.210.180.681.170;26.362.965.012.309.300;7.700.063.469.729.120;39.538.949.034.184.500;36.448.010.670.373.700;1.034.895.075.743.780;5.300.838.135.392.040;39.915.642.477.993.000;0
Skopje;Greater Skopje;North Macedonia;1.019.417.476;4.526.315.789;;14.815.306.144.508.600;1.519.341.347.396.720;904.683.270.725.723;30.701.179.262.256.500;5.638.047.433.250.860;1.656.865.556.799.740;5.267.618.503.420.980;60.381.849.531.835.800;0
Gdynia;Pomeranian Voivodeship;Poland;4.941.860.465;4.861.111.111;7.181.448.580.829.170;20.962.560.053.629.000;15.196.229.987.483.800;5.994.678.646.449.970;3.383.364.310.774.870;3.421.112.862.851.920;792.259.833.302.262;715.379.532.557.936;5.088.859.989.138.790;0
Szczecin;West Pomeranian Voivodeship;Poland;4.137.931.034;53.75;982.548.990.813.439;1.907.566.182.870.040;19.677.892.465.552.000;6.757.540.731.413.940;;4.528.362.348.772.380;168.990.378.000.164;47.081.971.185.777.600;2.857.472.426.051.180;0
Ljubljana;Ljubljana City Municipality;Slovenia;7.216.494.845;1.758.241.758;10.433.290.982.804.300;11.779.122.955.039.600;22.326.892.045.718.600;8.161.504.810.728.330;30.770.750.861.182.400;4.129.868.337.903.320;12.890.708.564.511.700;6.573.347.838.938.280;5.057.310.516.515.720;0
Plovdiv;Plovdiv region;Bulgaria;3.141.025.641;3.629.032.258;7.414.148.196.336.240;23.504.453.448.737.100;32.555.852.537.073.600;68.459.520.238.449.000;3.871.753.164.773.560;411.983.364.167.012;10.244.815.068.359.700;4.448.929.725.226.030;3.160.624.468.232.630;0
Sofia;Sofia City Province;Bulgaria;2.362.132.353;4.094.339.623;;23.228.045.202.353.200;14.787.206.264.858.100;5.474.914.831.733.120;;3.839.817.230.247.570;1.216.693.714.505.160;8.608.072.748.444.090;5.029.166.724.080.730;0
Milan;Lombardy;Italy;2.439.759.036;3.949.044.586;5.115.817.063.771.210;19.195.274.297.485.800;19.620.545.328.612.100;6.060.712.994.989.320;3.238.363.839.136.290;44.174.837.932.486.800;1.096.648.615.295.340;4.923.823.132.273.560;39.020.887.676.437.500;0
Trieste;Friuli-Venezia Giulia;Italy;5.887.096.774;29;3.641.629.777.473.380;18.390.872.226.182.600;24.752.072.459.755.400;5.538.314.133.481.360;2.860.595.560.492.710;4.568.600.959.410.410;903.406.675.271.333;735.946.567.566.564;34.643.530.351.550.200;0
Lodz;Lodz Voivodeship;Poland;2.884.615.385;4.044.117.647;5.618.064.405.909.140;30.423.591.211.231.600;1.728.197.516.841.160;6.101.083.505.101.920;;39.947.156.628.109.400;12.265.001.577.513.600;8.158.899.245.649.900;28.965.469.413.044.700;0
Villeurbanne;;France;75;50;;14.345.373.131.192.300;19.942.273.218.184.800;589.075.458.310.612;;4.271.306.714.819.020;2.246.989.198.835.690;5.312.409.421.895.880;290.756.391.519.334;0
Oslo;;Norway;7.475.728.155;1.417.525.773;9.267.187.530.763.540;19.861.439.471.909.500;24.683.723.566.029.600;6.110.612.421.393.190;32.807.753.320.146.900;39.687.694.905.791.700;16.471.969.353.155.100;30.383.314.574.642.000;4.324.004.645.618.280;0
Bonn;North Rhine-Westphalia;Germany;828.125;22.5;;23.385.899.569.121.200;11.703.923.907.047.800;4.599.387.943.421.720;30.903.932.035.276.000;3.493.996.325.323.040;1.833.889.254.980.600;4.267.746.528.271.930;3.510.004.044.590.520;0
Katowice;Silesian Voivodeship;Poland;2.777.777.778;4.833.333.333;5.331.940.479.018.530;19.487.406.544.579.900;16.658.876.503.163.500;7.993.829.562.375.310;31.667.516.182.816.600;3.351.203.984.374.610;10.180.513.802.631.500;5.957.271.371.122.680;4.434.820.257.956.540;0
Lisbon;Lisbon;Portugal;6.460.674.157;2.485.632.184;7.145.771.545.218.820;23.868.992.851.166.000;28.780.340.431.632.700;681.402.870.120.907;3.859.756.504.867.890;3.320.327.063.306.850;11.093.163.397.452.600;6.613.804.474.710.010;5.182.590.703.980.220;0
Rzeszow;Podkarpackie Voivodeship;Poland;37.5;4.705.882.353;9.920.691.058.768.150;2.028.174.830.014.260;9.973.934.059.208.530;6.882.248.306.781.500;33.735.052.910.963.700;33.319.246.993.768.000;23.917.601.261.274.900;71.833.623.959.766;469.070.723.013.249;0
Dubai;Emirate of Dubai;United Arab Emirates;4.887.387.387;3.984.615.385;4.758.439.424.671.470;18.334.945.410.599.700;21.568.428.779.035.800;4.731.348.984.614.180;;4.039.441.682.092.020;1.866.822.945.752.120;6.691.240.003.430.590;4.542.801.461.749.170;0
Padua;Veneto;Italy;2.916.666.667;50;5.702.925.976.824.720;21.685.047.387.261.500;3.560.644.017.680.790;71.843.510.891.688;;50.463.826.042.575.000;16.140.790.019.197.900;7.753.618.351.780.300;4.137.739.016.206.600;0
Bergamo;Lombardy;Italy;4.666.666.667;35;6.953.864.225.511.050;2.096.382.929.790.200;1.057.518.628.088.930;4.462.707.246.137.980;31.560.659.440.039.200;39.118.431.508.600.500;1.328.533.391.608.590;8.739.088.897.956.330;3.195.710.328.196.260;0
Venice;Veneto;Italy;36.25;6.785.714.286;1.068.296.642.580.590;1.733.754.983.501.200;15.758.740.621.388.900;5.570.783.575.394.450;30.735.258.576.592.600;3.238.079.132.465.800;100.908.697.516.698;7.847.278.445.385.450;39.997.753.815.500.600;0
Rennes;;France;62.5;35;;12.989.057.234.567.300;34.415.853.145.873.000;6.321.928.990.361.130;3.045.352.242.338.830;4.703.291.685.421.980;1.859.940.992.382.120;7.240.363.386.888.090;440.558.600.033.858;0
Lille;;France;4.891.304.348;3.552.631.579;8.757.257.397.440.990;20.019.140.044.205.700;21.536.224.687.445.400;4.915.101.054.543.180;31.788.290.049.783.700;4.047.177.991.564.450;13.768.323.306.421.300;47.930.871.877.110.200;36.261.354.416.122.300;0
Moscow;;Russia;4.147.526.502;4.972.527.473;;16.838.843.077.429.500;2.749.230.730.658.780;7.046.224.797.696.410;2.998.204.779.108.210;38.379.501.999.032.500;1.618.206.649.367.430;7.572.943.388.991.450;30.480.572.231.069.700;0
Saint Petersburg;;Russia;4.310.344.828;548.816.568;780.963.189.801.941;1.004.576.150.915.830;12.013.550.628.764.500;5.212.314.602.065.350;2.472.008.260.476.430;6.052.201.243.500.050;9.611.348.740.011.230;6.608.417.363.713.340;2.447.444.463.910.630;0
Heilbronn;Baden-Wurttemberg;Germany;80;0;6.652.488.090.855.700;1.450.101.719.190.830;19.871.788.448.305.800;4.961.066.380.191.500;2.880.521.917.368.510;545.974.993.762.403;10.942.024.256.012.100;717.274.140.605.346;37.420.904.263.496.600;0
Saginaw;Michigan;United States of America;85;70;9.147.197.055.336.920;21.171.414.177.764.100;11.920.610.835.646.200;72.307.947.693.374;3.397.519.188.007.930;5.277.089.100.130.400;1.827.531.210.927.760;4.763.488.493.437.150;37.945.315.911.032.100;0
Bialystok;Podlaskie Voivodeship;Poland;3.452.380.952;5.294.117.647;10.560.744.636.218.100;18.189.336.556.155.300;21.783.651.033.363.300;6.991.259.996.238.130;34.039.037.835.517.200;4.565.564.021.223.430;1.648.283.536.696.390;342.520.490.783.523;39.646.863.500.221.200;0
Nowy Sacz;Lesser Poland Voivodeship;Poland;30;100;7.484.254.837.727.460;26.009.217.257.337.100;30.616.615.148.853.600;9.379.133.540.507.620;;40.467.077.732.816.200;15.934.483.871.207.000;666.210.265.451.665;4.781.188.176.562.560;0
Lausanne;Canton of Vaud;Switzerland;7.826.086.957;17.5;8.520.806.572.970.300;23.833.511.245.550.900;287.796.500.110.336;8.282.808.464.509.600;3.816.493.228.718.940;4.813.188.026.886.130;6.016.336.609.271.200;3.909.117.136.225.330;39.406.045.297.946.800;0
Abakan;Republic of Khakassia;Russia;0;75;4.999.413.810.796.910;19.028.705.014.936.000;24.323.865.903.045.900;7.230.164.126.862.030;3.248.930.378.422.550;4.053.304.820.275.900;8.236.557.503.105.300;9.942.738.491.828.500;4.460.683.931.737.430;0
Novosibirsk;Novosibirsk Oblast;Russia;3.648.648.649;5.405.405.405;;15.780.119.355.420.400;16.963.625.011.737.400;8.335.618.549.876.710;30.004.423.428.111.200;36.099.599.448.807.400;12.823.860.949.370.700;717.170.050.975.215;44.053.857.056.590.300;0
Yekaterinburg;Sverdlovsk Oblast;Russia;2.790.697.674;5.833.333.333;;15.505.572.682.593.400;20.557.240.431.752.200;8.187.319.049.670.320;;29.018.098.311.050.500;16.622.255.183.892.000;59.622.057.462.107.900;4.089.907.689.677.860;0
Samara;Samara Oblast;Russia;484.375;515.625;39.060.783.549.561.600;2.334.028.350.124.750;32.144.799.933.618.300;69.948.396.173.050.900;3.483.594.482.139.760;2.694.490.512.269.390;96.541.256.002.684;6.374.306.384.016.440;3.902.879.711.657.460;0
Omsk;Omsk Oblast;Russia;1.617.647.059;4.852.941.176;6.391.353.623.832.180;2.130.178.296.827.950;20.965.478.308.853.500;5.375.559.891.974.680;32.765.054.252.170.700;3.693.381.209.158.560;13.758.105.170.743.700;17.915.722.569.180.700;392.374.916.929.651;0
Kazan;Republic of Tatarstan;Russia;41.25;5.833.333.333;;22.948.569.367.886.000;35.729.692.708.630.300;8.810.843.045.016.390;38.494.377.894.842.000;2.963.975.472.430.130;1.692.709.217.980.680;;38.556.022.119.166.900;0
Chelyabinsk;Chelyabinsk Oblast;Russia;1.666.666.667;703.125;8.692.092.012.708.040;1.951.437.387.840.540;24.656.239.679.444.500;823.190.033.837.729;;3.983.454.180.035.160;12.380.770.792.752.300;48.440.724.865.546.800;4.477.960.248.233.930;0
Ufa;Bashkortostan;Russia;2.083.333.333;6.818.181.818;8.085.759.800.882.210;12.773.967.382.937.200;32.653.910.360.267.500;6.534.237.410.114.920;;41.623.963.007.040.100;11.119.659.254.793.700;7.827.505.003.771.150;4.068.688.909.481.660;0
Volgograd;Volgograd Oblast;Russia;2.166.666.667;59.375;62.039.777.022.783.400;21.230.661.828.668.600;2.181.507.414.790.550;7.873.991.884.545.460;;36.210.800.431.396.200;149.330.126.610.987;6.387.381.994.728.530;5.215.689.206.119.030;0
Perm;Perm Krai;Russia;4.444.444.444;50;5.058.108.868.565.130;23.856.938.041.349.900;348.739.345.228.707;8.983.276.144.386.590;37.443.350.451.685.600;669.725.086.180.179;13.353.181.433.963.500;7.652.179.974.552.390;5.106.655.774.420.080;0
Krasnoyarsk;Krasnoyarsk Krai;Russia;6.617.647.059;4.921.875;;10.346.475.866.009.400;2.742.016.742.458.200;8.417.305.032.089.520;;48.597.450.045.781.300;11.351.132.730.708.500;678.699.636.759.021;4.620.793.451.653.210;0
Beijing;;People's Republic of China;2.136.627.907;7.078.313.253;;21.120.052.600.889.700;12.830.484.133.775.400;4.502.117.033.961.810;3.269.615.175.657.500;3.333.298.479.586.670;1.604.514.847.686.680;4.989.840.563.542.830;34.397.400.415.499.100;0
Vladivostok;Primorsky Krai;Russia;35;67.5;7.261.550.522.070.710;17.988.978.823.788.400;24.964.777.703.096.500;5.837.086.492.837.430;34.926.927.130.145.600;50.118.278.074.341;17.287.713.278.296.300;50.993.006.453.081.000;3.636.364.182.680.490;0
San Antonio;Texas;United States of America;6.341.463.415;5.067.567.568;716.046.723.080.874;1.830.893.100.379.280;6.743.346.065.530.400;38.030.364.235.979.800;2.775.990.986.210.590;4.280.363.443.504.030;979.962.468.961.304;9.003.537.367.362.070;38.848.910.441.472.700;0
Tomsk;Tomsk Oblast;Russia;4.642.857.143;5.178.571.429;5.704.764.776.213.010;11.629.932.988.379.500;3.322.358.152.874.990;7.050.503.159.576.970;2.970.781.534.785.210;50.437.868.096.765.400;9.001.820.487.566.130;481.470.312.534.892;4.157.533.407.489.730;0
Tbilisi;;Georgia;2.298.387.097;4.934.782.609;621.727.313.516.034;13.094.446.388.846.500;1.946.038.281.898.750;70.924.629.553.053.600;30.013.127.199.830.300;5.566.537.100.333.970;14.083.608.352.195.400;57.897.074.706.807.600;5.325.833.445.695.800;0
Maribor;Maribor City Municipality;Slovenia;76.25;18.75;8.679.934.969.964.180;24.222.866.728.551.900;2.298.405.095.148.240;75.187.646.593.999.000;;35.294.258.812.349.000;18.704.409.059.274.800;6.990.790.244.915.210;3.873.470.298.448.300;0
Celje;City Municipality of Celje;Slovenia;50;8.333.333.333;;21.930.091.421.337.000;1.485.946.642.428.360;5.598.326.765.629.250;3.444.423.936.728.910;42.521.357.480.761.200;15.771.834.366.058.200;49.352.001.477.804.400;4.655.916.598.688.820;0
Koper;City Municipality of Koper;Slovenia;87.5;0;6.897.322.141.100.190;21.136.016.672.106.100;25.650.777.643.120.200;6.766.009.906.754.590;;3.830.143.101.678.530;1.393.478.804.138.060;9.052.332.986.300.930;5.022.783.630.004.570;0
Aachen;North Rhine-Westphalia;Germany;7.045.454.545;1.785.714.286;3.514.545.528.745.270;15.873.207.576.140.100;23.029.663.613.563.600;6.821.679.099.461.130;2.865.228.468.169.780;3.073.791.420.351.910;971.223.191.091.832;7.985.092.857.457.240;3.762.615.331.099.360;0
Nova Gorica;City Municipality of Nova Gorica;Slovenia;75;12.5;372.250.048.593.372;16.363.974.692.058.100;3.796.216.799.126.100;66.845.702.741.913.400;32.669.401.786.030.200;4.675.629.728.711.810;14.567.268.860.188.200;5.057.797.909.828.090;36.628.377.319.913.500;0
Kranj;City Municipality of Kranj;Slovenia;8.055.555.556;12.5;6.455.004.797.496.710;17.668.397.277.687.000;24.468.048.390.354.500;5.756.930.038.692.850;31.479.959.828.380.900;47.758.134.615.570.200;16.245.504.341.610.600;5.772.972.382.844.000;22.934.314.064.128.600;0
Stuttgart;Baden-Wurttemberg;Germany;43.125;2.428.571.429;7.316.804.753.880.910;2.175.228.619.622.910;31.903.399.811.532.200;9.865.047.502.682.180;37.693.797.230.566.500;4.259.134.001.802.690;8.992.754.272.254.670;6.950.921.982.211.520;3.508.372.649.783.590;0
Biel/Bienne;Canton of Bern;Switzerland;37.5;31.25;1.844.538.366.498.840;2.337.643.427.207.260;28.689.595.777.682.900;7.724.432.299.963.910;;41.038.726.383.770.800;15.611.859.296.305.200;5.429.944.409.418.920;5.013.463.351.103.730;0
Karlsruhe;Baden-Wurttemberg;Germany;87.5;5.555.555.556;5.519.125.656.437.600;16.872.858.303.956.700;1.253.160.192.106.470;773.072.294.792.503;;4.435.703.720.974.920;18.099.078.103.861.500;;3.758.995.860.323.910;0
Hamburg;;Germany;7.076.271.186;2.450.980.392;7.408.985.466.924.610;20.496.174.981.089.400;9.566.122.270.169.190;6.505.923.138.805.980;3.114.526.625.117.480;50.414.599.408.386.600;11.532.144.007.741.200;8.110.693.773.146.240;3.772.420.927.989.510;0
Ahmedabad;Gujarat;India;3.296.296.296;669.921.875;5.976.769.618.087.590;2.589.527.320.159.530;27.267.981.860.954.100;7.648.599.331.443.450;3.836.571.521.070.960;514.118.920.118.766;12.256.790.251.190.300;8.246.979.842.996.720;29.946.710.955.082.100;0
Salerno;Campania;Italy;60;5.833.333.333;6.395.359.131.671.060;1.338.342.291.043.790;23.827.275.015.402.800;51.277.468.613.272;2.669.084.282.807.840;5.734.002.951.499.590;9.833.874.584.580.250;9.502.660.927.984.370;4.191.217.514.711.700;0
Prague;;Czech Republic;6.321.243.523;2.570.621.469;6.209.642.259.708.480;19.541.772.094.898.100;13.116.707.711.787.000;7.879.347.670.859.670;;41.724.165.602.634.800;7.507.662.314.515.300;7.054.738.690.612.050;36.125.196.149.467.100;0
Jamnagar;Gujarat;India;3.448.275.862;5.833.333.333;6.762.832.521.891.730;2.320.751.765.558.760;27.159.384.345.233.500;7.884.990.657.868.600;3.504.452.926.972.010;4.654.137.746.213.490;13.863.964.882.331.100;6.481.225.738.319.590;4.916.579.160.751.280;0
Busto Arsizio;Lombardy;Italy;0;75;991.871.706.385.417;19.918.125.107.339.000;21.470.278.305.413.200;6.799.841.410.225.560;32.917.842.902.607.600;4.305.077.068.652.860;15.966.042.944.362.000;5.929.227.326.975.210;3.385.508.443.856.710;0
Mumbai;Maharashtra;India;2.516.025.641;7.532.537.961;1.015.544.017.022.190;30.029.247.579.584.000;12.652.362.978.658.000;6.655.126.362.567.490;39.864.778.574.595.700;48.745.913.103.075.500;9.347.633.986.485.670;679.197.886.870.381;5.002.467.259.922.080;0
Jerusalem;Jerusalem District;Israel;3.709.677.419;4.239.130.435;8.721.726.710.620.580;20.636.968.238.478.300;28.608.052.076.372.500;6.325.442.403.664.850;37.740.453.818.519.900;50.693.835.272.982.500;13.553.751.007.248.500;42.381.483.937.537.100;25.550.269.039.968.700;0
Grenoble;;France;3.409.090.909;2.647.058.824;;1.979.797.828.412.590;17.153.306.163.452.000;7.659.203.939.381.070;3.292.803.146.030.720;5.751.146.944.234.240;11.870.981.482.343.300;6.910.983.568.283.250;4.383.921.813.522.320;0
Dortmund;North Rhine-Westphalia;Germany;75;15.625;;1.991.078.855.640.330;29.721.911.630.350.100;6.869.690.215.355.930;35.730.322.096.748.000;42.070.959.122.207.200;9.226.618.665.284.830;5.529.428.326.667.220;3.355.164.642.176.150;0
Ghent;Flemish Region;Belgium;5.546.875;2.767.857.143;6.099.646.705.468.380;2.379.199.267.632.530;2.041.684.099.619.070;8.457.830.699.274.370;;2.911.048.365.690.670;1.927.005.426.046.370;9.313.800.948.154.010;31.727.897.691.528.700;0
Chicago;Illinois;United States of America;5.743.243.243;5.362.068.966;9.026.787.719.511.630;25.321.707.417.098.400;2.796.507.214.592.840;6.588.374.366.182.630;3.735.532.353.383.940;5.883.196.505.363.990;16.145.732.052.775.000;5.912.445.084.811.040;20.190.420.182.011.600;0
Como;Lombardy;Italy;5.833.333.333;40;6.953.371.603.389.540;2.031.465.467.521.770;11.609.109.054.527.700;5.495.737.654.707.860;3.042.831.932.144.030;5.511.433.371.665.810;9.387.781.275.530.810;5.595.800.559.485.760;3.651.865.808.422.890;0
Montevideo;Montevideo Department;Uruguay;6.578.947.368;4.675.324.675;6.140.877.556.947.860;19.787.608.974.936.600;2.668.787.448.333.390;7.587.196.417.947.500;32.923.185.293.501.800;5.480.727.613.161.170;15.836.330.205.236.100;4.126.364.788.367.690;5.359.460.295.012.960;0
Tolyatti;Samara Oblast;Russia;3.611.111.111;43.75;7.077.874.006.530.450;22.067.053.960.676.500;23.873.378.210.133.600;6.181.839.616.382.840;34.198.723.407.838.300;3.330.507.859.433.450;10.661.798.937.603.900;9.029.777.033.020.960;4.764.508.264.921.440;0
Pittsburgh;Pennsylvania;United States of America;5.892.857.143;5.961.538.462;5.488.314.309.012.510;13.580.236.170.060.900;21.485.153.195.191.000;818.741.579.072.919;2.806.032.866.703.190;4.413.311.374.586.930;1.486.026.268.337.490;8.828.734.556.180.850;5.066.786.271.784.540;0
Philadelphia;Pennsylvania;United States of America;5.428.571.429;5.564.516.129;7.205.559.174.588.720;12.032.761.534.360.800;24.627.867.560.468.900;6.202.469.332.114.020;2.897.686.965.533.280;4.184.332.899.200.770;13.643.147.085.869.300;6.373.373.237.019.640;3.710.053.125.679.870;0
Kolkata;West Bengal;India;2.593.457.944;6.826.923.077;9.177.869.865.892.430;1.632.748.282.557.010;20.868.331.218.998.800;7.726.040.434.165.080;3.204.214.321.786.770;4.269.943.931.689.400;10.214.274.603.240.600;62.430.926.156.839.800;31.087.699.879.134.500;0
Chennai;Tamil Nadu;India;3.588.435.374;7.307.017.544;4.270.716.194.733.730;16.683.770.854.028.500;24.405.250.534.952.700;73.915.101.384.206.500;29.720.673.916.830.300;3.495.189.103.676.480;13.478.526.445.498.800;5.447.483.954.440.160;3.763.905.902.952.320;0
Delhi;;India;118.441.358;7.741.679.873;7.348.844.511.550.610;22.326.493.973.020.700;11.519.046.527.356.500;8.889.558.679.820.600;;4.941.584.340.869.630;18.145.374.253.777.100;7.371.552.201.680.900;4.880.875.156.180.850;0
Dhaka;Dhaka Division;Bangladesh;1.496.815.287;7.825.342.466;8.526.169.869.777.780;17.561.283.632.174.300;1.183.712.335.960.840;7.483.708.837.987.370;30.839.851.553.828.500;474.240.482.290.634;21.845.916.252.542.000;5.237.220.110.667.480;5.083.014.141.516.920;0
